place_id,name,address,latitude,longitude,rating,review_count
ChIJvx2BkjHs3IARossBdJPYStc,Starbucks,"27702 Crown Valley Parkway, Ladera Ranch",33.5636169,-117.6461567,4.3,128
ChIJwcQAJyjs3IARf-Cgw7oIeC0,Bruegger's Bagels,"27702 Crown Valley Parkway F3, Ladera Ranch",33.5629687,-117.6475762,4.3,108
ChIJddynmqHt3IARpyqHFcg3hoQ,Zazen Coffee Roasters,"28275 Avendale Boulevard, Ladera Ranch",33.5514019,-117.6363044,5,2
ChIJqx-0-TLs3IARSfLuxv-YlJc,McDonald's,"27612 Antonio Parkway, Ladera Ranch",33.562227,-117.628976,3.8,689
ChIJ90frf60l4IgRs-UU60tD8e4,Oslo Coffee Co,"25642 Crown Valley Parkway Suite E1, Ladera Ranch",33.5645888,-117.6314072,4.5,78
ChIJm-b0zs3t3IARo2geWDXKTAk,Lola's Cafe,"1101 Corporate Drive a1, Ladera Ranch",33.55579,-117.629275,4.5,310
ChIJO7iO2xns3IAR5oxXWTC9P6o,Starbucks,"28562 Oso Parkway Las Flores, Rancho Santa Margarita",33.58296499999999,-117.632447,4.2,153
ChIJK5cVJF3t3IARg8lafpCYnww,Starbucks,"28622 Oso Parkway, Rancho Santa Margarita",33.5826929,-117.6316119,2.8,19
ChIJA1K-Ll3p3IAR0kQLEm2EwJ0,7-Eleven,"27271 Trabuco Road, Mission Viejo",33.6136517,-117.6547782,3.7,59
ChIJmymUo9vr3IARVYFsL1FF-yk,Bagels & Brew,"23052 Alicia Parkway A, Mission Viejo",33.6275522,-117.6347172,4.3,335
ChIJJWxOnxHp3IAROPUdS9q9ORo,Starbucks,"23072 Alicia Parkway, Mission Viejo",33.6275204,-117.6361235,3.6,20
ChIJ-fEu2Ivp3IARoLIW5kC7q3g,Einstein Bros. Bagels,"27695 Santa Margarita Parkway A, Mission Viejo",33.65391549999999,-117.6473723,4.3,344
ChIJsSzbD4np3IARmNfktyzLbj8,Nekter Juice Bar,"27726 Santa Margarita Parkway, Mission Viejo",33.6518458,-117.647139,4.4,78
ChIJa8YSd4np3IARXgGMsl8tWaY,Starbucks,"27698 Santa Margarita Parkway, Mission Viejo",33.65205,-117.64738,4,308
ChIJGf22donp3IARK8vUAwLcJ94,McDonald's,"27700 Santa Margarita Parkway, Mission Viejo",33.6527935,-117.6469727,3.8,660
ChIJc2aiD_vp3IARTcEINuiHZY0,Starbucks,"27412 Portola Parkway G, Lake Forest",33.67129259999999,-117.6528217,4.3,341
ChIJfzVvO_Lp3IARjWQT1Q8uH3g,Linda's Coffee House,"29200 Portola Parkway STE E, Lake Forest",33.6614346,-117.653586,4.5,303
ChIJC0LFivHp3IARXLNfQKEwPpY,ampm,"29080 Portola Parkway, Lake Forest",33.6628777,-117.6537335,1.9,18
ChIJ8QGjl2fp3IARGn9Ze0H09yo,Bowlista,"27472 Portola Parkway STE 202, Foothill Ranch",33.6708982,-117.65225,4.4,75
ChIJ9QmMgl7B3IARpWlljGqFaTw,Silverado Cafe,"28272 Silverado Canyon Road, Silverado",33.7469444,-117.6377778,4.6,561
ChIJo5izt6DP3IAR3GaRBbNFDrI,Choco Bakery & Café,"4300 Green River Road STE 103, Corona",33.87815140000001,-117.6485827,4.6,290
ChIJK3HK_3rL3IARroOcnE_3TKI,Flo's Airport Cafe,"Chino Airport, 7000 Merrill Avenue Bldg.A315, Chino",33.98245069999999,-117.644559,4.6,1790
